term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"plants burn","plants burn","4","1000","0.004","",""
"plants biomass","plants biomass","4","1000","0.004","",""
"piedmont green","piedmont green","4","1000","0.004","",""
"pellets burned","pellets burned","4","1000","0.004","",""
"oil gas","oil gas","4","1000","0.004","",""
"nuclear energy","nuclear energy","4","1000","0.004","",""
"new energy","new energy","4","1000","0.004","",""
"microbial biomass","microbial biomass","4","1000","0.004","",""
"landfill gas","landfill gas","4","1000","0.004","",""
"kyoto protocol","kyoto protocol","4","1000","0.004","",""
"include biomass","include biomass","4","1000","0.004","",""
"hydro wind","hydro wind","4","1000","0.004","",""
"heating plant","heating plant","4","1000","0.004","",""
"gross margin","gross margin","4","1000","0.004","",""
"greenhouse gas","greenhouse gas","4","1000","0.004","",""
"generating electricity","generating electricity","4","1000","0.004","",""
"gas emissions","gas emissions","4","1000","0.004","",""
"fuels biomass","fuels biomass","4","1000","0.004","",""
"fuel cells","fuel cells","4","1000","0.004","",""
"fuel biomass","fuel biomass","4","1000","0.004","",""
"found biomass","found biomass","4","1000","0.004","",""
"european union","european union","4","1000","0.004","",""
"energy supply","energy supply","4","1000","0.004","",""
"electricity generation","electricity generation","4","1000","0.004","",""
"electricity generated","electricity generated","4","1000","0.004","",""
"down biomass","down biomass","4","1000","0.004","",""
"dioxide emissions","dioxide emissions","4","1000","0.004","",""
"dioxide air","dioxide air","4","1000","0.004","",""
"controls pbc","controls pbc","4","1000","0.004","",""
"coal oil","coal oil","4","1000","0.004","",""
"coal gas","coal gas","4","1000","0.004","",""
"chips biomass","chips biomass","4","1000","0.004","",""
"carbon sequestration","carbon sequestration","4","1000","0.004","",""
"capture carbon","capture carbon","4","1000","0.004","",""
"burning fossil","burning fossil","4","1000","0.004","",""
"british columbia","british columbia","4","1000","0.004","",""
"biomass stoves","biomass stoves","4","1000","0.004","",""
"biomass resources","biomass resources","4","1000","0.004","",""
"biomass project","biomass project","4","1000","0.004","",""
"biomass pellets","biomass pellets","4","1000","0.004","",""
"biomass nuclear","biomass nuclear","4","1000","0.004","",""
"biomass liquid","biomass liquid","4","1000","0.004","",""
"biomass hydroelectric","biomass hydroelectric","4","1000","0.004","",""
"biomass electricity","biomass electricity","4","1000","0.004","",""
"bioenergy carbon","bioenergy carbon","4","1000","0.004","",""
"billion gallons","billion gallons","4","1000","0.004","",""
"analysis 3.1","analysis 3.1","4","1000","0.004","",""
"woodland biomass","woodland biomass","3","1000","0.003","",""
"wood waste","wood waste","3","1000","0.003","",""
"wind energy","wind energy","3","1000","0.003","",""
"water quality","water quality","3","1000","0.003","",""
"view original","view original","3","1000","0.003","",""
"vice president","vice president","3","1000","0.003","",""
"uk eu","uk eu","3","1000","0.003","",""
"type 1.4","type 1.4","3","1000","0.003","",""
"turbine products","turbine products","3","1000","0.003","",""
"trends forecast","trends forecast","3","1000","0.003","",""
"terms biomass","terms biomass","3","1000","0.003","",""
"telecom power","telecom power","3","1000","0.003","",""
"system market","system market","3","1000","0.003","",""
"sustainable energy","sustainable energy","3","1000","0.003","",""
"sustainable biomass","sustainable biomass","3","1000","0.003","",""
"sugar cane","sugar cane","3","1000","0.003","",""
"storing carbon","storing carbon","3","1000","0.003","",""
"station biomass","station biomass","3","1000","0.003","",""
"sources including","sources including","3","1000","0.003","",""
"solar hydro","solar hydro","3","1000","0.003","",""
"soil carbon","soil carbon","3","1000","0.003","",""
"soil biomass","soil biomass","3","1000","0.003","",""
"smart grid","smart grid","3","1000","0.003","",""
"slow climate","slow climate","3","1000","0.003","",""
"ski hotel","ski hotel","3","1000","0.003","",""
"shut down","shut down","3","1000","0.003","",""
"sales revenue","sales revenue","3","1000","0.003","",""
"sales channels","sales channels","3","1000","0.003","",""
"revenue gross","revenue gross","3","1000","0.003","",""
"renewables wind","renewables wind","3","1000","0.003","",""
"renewables including","renewables including","3","1000","0.003","",""
"renewable portfolio","renewable portfolio","3","1000","0.003","",""
"renewable heat","renewable heat","3","1000","0.003","",""
"renewable fuel","renewable fuel","3","1000","0.003","",""
"remove carbon","remove carbon","3","1000","0.003","",""
"profiles sales","profiles sales","3","1000","0.003","",""
"profiles developments","profiles developments","3","1000","0.003","",""
"profiles description","profiles description","3","1000","0.003","",""
"profiles corporation","profiles corporation","3","1000","0.003","",""
"profiles biomass","profiles biomass","3","1000","0.003","",""
"products offered","products offered","3","1000","0.003","",""
"produces carbon","produces carbon","3","1000","0.003","",""
"produced burning","produced burning","3","1000","0.003","",""
"produce electricity","produce electricity","3","1000","0.003","",""
"proceedings national","proceedings national","3","1000","0.003","",""
"power system","power system","3","1000","0.003","",""
"power association","power association","3","1000","0.003","",""
"percent total","percent total","3","1000","0.003","",""
"percent energy","percent energy","3","1000","0.003","",""
"percent electricity","percent electricity","3","1000","0.003","",""
"pellets europe","pellets europe","3","1000","0.003","",""
"particulate matter","particulate matter","3","1000","0.003","",""
"paris agreement","paris agreement","3","1000","0.003","",""
"organic matter","organic matter","3","1000","0.003","",""
"organic material","organic material","3","1000","0.003","",""
"offshore wind","offshore wind","3","1000","0.003","",""
"oak ridge","oak ridge","3","1000","0.003","",""
"north yorkshire","north yorkshire","3","1000","0.003","",""
"news release","news release","3","1000","0.003","",""
"new rules","new rules","3","1000","0.003","",""
"national academy","national academy","3","1000","0.003","",""
"market trends","market trends","3","1000","0.003","",""
"market opportunities","market opportunities","3","1000","0.003","",""
"margin 2015-2020","margin 2015-2020","3","1000","0.003","",""
"law requiring","law requiring","3","1000","0.003","",""
"large biomass","large biomass","3","1000","0.003","",""
"large amounts","large amounts","3","1000","0.003","",""
"kg ha","kg ha","3","1000","0.003","",""
"justice community","justice community","3","1000","0.003","",""
"jet fuel","jet fuel","3","1000","0.003","",""
"insect biomass","insect biomass","3","1000","0.003","",""
"industrial scale","industrial scale","3","1000","0.003","",""
"including wind","including wind","3","1000","0.003","",""
"including biomass","including biomass","3","1000","0.003","",""
"hydroelectric biomass","hydroelectric biomass","3","1000","0.003","",""
"growth biomass","growth biomass","3","1000","0.003","",""
"government subsidies","government subsidies","3","1000","0.003","",""
"global warming","global warming","3","1000","0.003","",""
"global telecom","global telecom","3","1000","0.003","",""
"geothermal wind","geothermal wind","3","1000","0.003","",""
"geothermal tidal","geothermal tidal","3","1000","0.003","",""
"geothermal solar","geothermal solar","3","1000","0.003","",""
"geothermal energy","geothermal energy","3","1000","0.003","",""
"generated wind","generated wind","3","1000","0.003","",""
"generate energy","generate energy","3","1000","0.003","",""
"gas pipelines","gas pipelines","3","1000","0.003","",""
"fuel source","fuel source","3","1000","0.003","",""
"fuel power","fuel power","3","1000","0.003","",""
"forestry industry","forestry industry","3","1000","0.003","",""
"federal government","federal government","3","1000","0.003","",""
"eu's renewable","eu's renewable","3","1000","0.003","",""
"environmental justice","environmental justice","3","1000","0.003","",""
"energy solar","energy solar","3","1000","0.003","",""
"energy directive","energy directive","3","1000","0.003","",""
"emits carbon","emits carbon","3","1000","0.003","",""
"emerging biomass","emerging biomass","3","1000","0.003","",""
"electricity production","electricity production","3","1000","0.003","",""
"electricity produced","electricity produced","3","1000","0.003","",""
"electricity biomass","electricity biomass","3","1000","0.003","",""
"donald trump","donald trump","3","1000","0.003","",""
"diesel fuel","diesel fuel","3","1000","0.003","",""
"description business","description business","3","1000","0.003","",""
"derivatives market","derivatives market","3","1000","0.003","",""
"department energy","department energy","3","1000","0.003","",""
"cutting down","cutting down","3","1000","0.003","",""
"crude oil","crude oil","3","1000","0.003","",""
"counted renewable","counted renewable","3","1000","0.003","",""
"corporation information","corporation information","3","1000","0.003","",""
"coal power","coal power","3","1000","0.003","",""
"co-firing biomass","co-firing biomass","3","1000","0.003","",""
"climate action","climate action","3","1000","0.003","",""
"central valley","central valley","3","1000","0.003","",""
"cbd oil","cbd oil","3","1000","0.003","",""
"business overview","business overview","3","1000","0.003","",""
"break down","break down","3","1000","0.003","",""
"biomass times","biomass times","3","1000","0.003","",""
"biomass subsidies","biomass subsidies","3","1000","0.003","",""
"biomass soil","biomass soil","3","1000","0.003","",""
"biomass provide","biomass provide","3","1000","0.003","",""
"biomass produces","biomass produces","3","1000","0.003","",""
"biomass processing","biomass processing","3","1000","0.003","",""
"biomass process","biomass process","3","1000","0.003","",""
"biomass policy","biomass policy","3","1000","0.003","",""
"biomass needed","biomass needed","3","1000","0.003","",""
"biomass natural","biomass natural","3","1000","0.003","",""
"biomass material","biomass material","3","1000","0.003","",""
"biomass improve","biomass improve","3","1000","0.003","",""
"biomass hydro","biomass hydro","3","1000","0.003","",""
"biomass grow","biomass grow","3","1000","0.003","",""
"biomass global","biomass global","3","1000","0.003","",""
"biomass generate","biomass generate","3","1000","0.003","",""
"biomass fuels","biomass fuels","3","1000","0.003","",""
"biomass forests","biomass forests","3","1000","0.003","",""
"biomass fact","biomass fact","3","1000","0.003","",""
"biomass facility","biomass facility","3","1000","0.003","",""
"biomass emits","biomass emits","3","1000","0.003","",""
"biomass converted","biomass converted","3","1000","0.003","",""
"biomass capacity","biomass capacity","3","1000","0.003","",""
"biomass boiler","biomass boiler","3","1000","0.003","",""
"biofuels biomass","biofuels biomass","3","1000","0.003","",""
"billion people","billion people","3","1000","0.003","",""
"application 1.5","application 1.5","3","1000","0.003","",""
"amounts biomass","amounts biomass","3","1000","0.003","",""
"algae biomass","algae biomass","3","1000","0.003","",""
"air water","air water","3","1000","0.003","",""
"agricultural waste","agricultural waste","3","1000","0.003","",""
"academy sciences","academy sciences","3","1000","0.003","",""
"absorb carbon","absorb carbon","3","1000","0.003","",""
"4.1 growing","4.1 growing","3","1000","0.003","",""
"3.1 4.1","3.1 4.1","3","1000","0.003","",""
"2.2 global","2.2 global","3","1000","0.003","",""
"2.1 global","2.1 global","3","1000","0.003","",""
"11.5 company","11.5 company","3","1000","0.003","",""
"11.4 company","11.4 company","3","1000","0.003","",""
"11.2 company","11.2 company","3","1000","0.003","",""
"1.5 application","1.5 application","3","1000","0.003","",""
"1.4 type","1.4 type","3","1000","0.003","",""
"zero-emissions wind","zero-emissions wind","2","1000","0.002","",""
"zero-carbon wind","zero-carbon wind","2","1000","0.002","",""
"yolo county","yolo county","2","1000","0.002","",""
"world slow","world slow","2","1000","0.002","",""
"world health","world health","2","1000","0.002","",""
"wood products","wood products","2","1000","0.002","",""
"wood forests","wood forests","2","1000","0.002","",""
"windows doors","windows doors","2","1000","0.002","",""
"wind turbine","wind turbine","2","1000","0.002","",""
"wind hydro","wind hydro","2","1000","0.002","",""
"wind farms","wind farms","2","1000","0.002","",""
"wind farm","wind farm","2","1000","0.002","",""
"william cheung","william cheung","2","1000","0.002","",""
"waterways percent","waterways percent","2","1000","0.002","",""
"water city","water city","2","1000","0.002","",""
"wastewater treatment","wastewater treatment","2","1000","0.002","",""
"waste products","waste products","2","1000","0.002","",""
"waste leftover","waste leftover","2","1000","0.002","",""
"waste feedstock","waste feedstock","2","1000","0.002","",""
"vertebrate biomass","vertebrate biomass","2","1000","0.002","",""
"vegetation biomass","vegetation biomass","2","1000","0.002","",""
"variety renewable","variety renewable","2","1000","0.002","",""
"value chain","value chain","2","1000","0.002","",""
"update long-range","update long-range","2","1000","0.002","",""
"university british","university british","2","1000","0.002","",""
"united nations","united nations","2","1000","0.002","",""
"union eu","union eu","2","1000","0.002","",""
"turn biomass","turn biomass","2","1000","0.002","",""
"turbines biomass","turbines biomass","2","1000","0.002","",""
"turbine retrospective","turbine retrospective","2","1000","0.002","",""
"trunks branches","trunks branches","2","1000","0.002","",""
"trees remove","trees remove","2","1000","0.002","",""
"trees biomass","trees biomass","2","1000","0.002","",""
"tree planting","tree planting","2","1000","0.002","",""
"transform energy","transform energy","2","1000","0.002","",""
"town council","town council","2","1000","0.002","",""
"total weight","total weight","2","1000","0.002","",""
"tonnes biomass","tonnes biomass","2","1000","0.002","",""
"tiny compared","tiny compared","2","1000","0.002","",""
"times power","times power","2","1000","0.002","",""
"times current","times current","2","1000","0.002","",""
"times biomass","times biomass","2","1000","0.002","",""
"timber biomass","timber biomass","2","1000","0.002","",""
"tidal biomass","tidal biomass","2","1000","0.002","",""
"technologies biomass","technologies biomass","2","1000","0.002","",""
"taylor biomass","taylor biomass","2","1000","0.002","",""
"systems biomass","systems biomass","2","1000","0.002","",""
"system fossil","system fossil","2","1000","0.002","",""
"sustainably harvested","sustainably harvested","2","1000","0.002","",""
"sustainably energies","sustainably energies","2","1000","0.002","",""
"sustainable fuels","sustainable fuels","2","1000","0.002","",""
"support biomass","support biomass","2","1000","0.002","",""
"supply chain","supply chain","2","1000","0.002","",""
"sun wind","sun wind","2","1000","0.002","",""
"suck carbon","suck carbon","2","1000","0.002","",""
"subsidize providers","subsidize providers","2","1000","0.002","",""
"subsidised cooking","subsidised cooking","2","1000","0.002","",""
"study co-author","study co-author","2","1000","0.002","",""
"studies biomass","studies biomass","2","1000","0.002","",""
"stoves million","stoves million","2","1000","0.002","",""
"stored biomass","stored biomass","2","1000","0.002","",""
"steam plant","steam plant","2","1000","0.002","",""
"station converting","station converting","2","1000","0.002","",""
"statement papers","statement papers","2","1000","0.002","",""
"state's renewable","state's renewable","2","1000","0.002","",""
"st louis-based","st louis-based","2","1000","0.002","",""
"spending bill","spending bill","2","1000","0.002","",""
"southeast forest","southeast forest","2","1000","0.002","",""
"south korea","south korea","2","1000","0.002","",""
"south east","south east","2","1000","0.002","",""
"south carolina","south carolina","2","1000","0.002","",""
"sources include","sources include","2","1000","0.002","",""
"source kyoto","source kyoto","2","1000","0.002","",""
"source biomass","source biomass","2","1000","0.002","",""
"solutions storing","solutions storing","2","1000","0.002","",""
"solar hydroelectric","solar hydroelectric","2","1000","0.002","",""
"so pristine","so pristine","2","1000","0.002","",""
"so biomass","so biomass","2","1000","0.002","",""
"small-scale hydroelectric","small-scale hydroelectric","2","1000","0.002","",""
"size share","size share","2","1000","0.002","",""
"size growth","size growth","2","1000","0.002","",""
"size emerging","size emerging","2","1000","0.002","",""
"short-term solutions","short-term solutions","2","1000","0.002","",""
"seabed biomass","seabed biomass","2","1000","0.002","",""
"satellite data","satellite data","2","1000","0.002","",""
"saplings planted","saplings planted","2","1000","0.002","",""
"sage grouse","sage grouse","2","1000","0.002","",""
"role climate","role climate","2","1000","0.002","",""
"ridge biomass","ridge biomass","2","1000","0.002","",""
"rfs increased","rfs increased","2","1000","0.002","",""
"retrospective market","retrospective market","2","1000","0.002","",""
"researchers found","researchers found","2","1000","0.002","",""
"research report","research report","2","1000","0.002","",""
"research gpr","research gpr","2","1000","0.002","",""
"requiring electric","requiring electric","2","1000","0.002","",""
"reports biomass","reports biomass","2","1000","0.002","",""
"replace coal","replace coal","2","1000","0.002","",""
"renewables lift","renewables lift","2","1000","0.002","",""
"renewable generation","renewable generation","2","1000","0.002","",""
"renewable fuels","renewable fuels","2","1000","0.002","",""
"rely biomass","rely biomass","2","1000","0.002","",""
"relevance current","relevance current","2","1000","0.002","",""
"releases carbon","releases carbon","2","1000","0.002","",""
"released biomass","released biomass","2","1000","0.002","",""
"region 2015-2020","region 2015-2020","2","1000","0.002","",""
"reducing investments","reducing investments","2","1000","0.002","",""
"reduced biomass","reduced biomass","2","1000","0.002","",""
"reduce risk","reduce risk","2","1000","0.002","",""
"reduce greenhouse","reduce greenhouse","2","1000","0.002","",""
"receive subsidised","receive subsidised","2","1000","0.002","",""
"raw materials","raw materials","2","1000","0.002","",""
"qualifying biomass","qualifying biomass","2","1000","0.002","",""
"purpose-built facility","purpose-built facility","2","1000","0.002","",""
"pulp paper","pulp paper","2","1000","0.002","",""
"public service","public service","2","1000","0.002","",""
"public health","public health","2","1000","0.002","",""
"providers costs","providers costs","2","1000","0.002","",""
"protocol par","protocol par","2","1000","0.002","",""
"proposed update","proposed update","2","1000","0.002","",""
"proposed changes","proposed changes","2","1000","0.002","",""
"proponents acknowledge","proponents acknowledge","2","1000","0.002","",""
"promote tree","promote tree","2","1000","0.002","",""
"projects include","projects include","2","1000","0.002","",""
"project convert","project convert","2","1000","0.002","",""
"program biomass","program biomass","2","1000","0.002","",""
"production technology","production technology","2","1000","0.002","",""
"production renewable","production renewable","2","1000","0.002","",""
"production biomass","production biomass","2","1000","0.002","",""
"produce paying","produce paying","2","1000","0.002","",""
"produce energy","produce energy","2","1000","0.002","",""
"process european","process european","2","1000","0.002","",""
"prices subsidize","prices subsidize","2","1000","0.002","",""
"prey biomass","prey biomass","2","1000","0.002","",""
"president donald","president donald","2","1000","0.002","",""
"premium prices","premium prices","2","1000","0.002","",""
"premature deaths","premature deaths","2","1000","0.002","",""
"practices gmp","practices gmp","2","1000","0.002","",""
"power renewable","power renewable","2","1000","0.002","",""
"power produce","power produce","2","1000","0.002","",""
"power facilities","power facilities","2","1000","0.002","",""
"power adds","power adds","2","1000","0.002","",""
"potential sources","potential sources","2","1000","0.002","",""
"portfolio standard","portfolio standard","2","1000","0.002","",""
"polluting biomass","polluting biomass","2","1000","0.002","",""
"policy scientists","policy scientists","2","1000","0.002","",""
"plot land","plot land","2","1000","0.002","",""
"plants trees","plants trees","2","1000","0.002","",""
"plants produce","plants produce","2","1000","0.002","",""
"plants exporting","plants exporting","2","1000","0.002","",""
"plants energy","plants energy","2","1000","0.002","",""
"plants convert","plants convert","2","1000","0.002","",""
"planting logic","planting logic","2","1000","0.002","",""
"planted replace","planted replace","2","1000","0.002","",""
"plant yorkshire","plant yorkshire","2","1000","0.002","",""
"plant proposed","plant proposed","2","1000","0.002","",""
"plant north","plant north","2","1000","0.002","",""
"plant matter","plant matter","2","1000","0.002","",""
"plant burn","plant burn","2","1000","0.002","",""
"plans calls","plans calls","2","1000","0.002","",""
"plans biomass","plans biomass","2","1000","0.002","",""
"plan includes","plan includes","2","1000","0.002","",""
"plainfield biomass","plainfield biomass","2","1000","0.002","",""
"pilot plant","pilot plant","2","1000","0.002","",""
"phytocannabinoid-rich biomass","phytocannabinoid-rich biomass","2","1000","0.002","",""
"petroleum natural","petroleum natural","2","1000","0.002","",""
"petroleum biomass","petroleum biomass","2","1000","0.002","",""
"pet bottles","pet bottles","2","1000","0.002","",""
"permits built","permits built","2","1000","0.002","",""
"percent renewable","percent renewable","2","1000","0.002","",""
"percent power","percent power","2","1000","0.002","",""
"percent global","percent global","2","1000","0.002","",""
"percent geothermal","percent geothermal","2","1000","0.002","",""
"percent fuel","percent fuel","2","1000","0.002","",""
"percent decline","percent decline","2","1000","0.002","",""
"people rely","people rely","2","1000","0.002","",""
"pellets biomass","pellets biomass","2","1000","0.002","",""
"paying premium","paying premium","2","1000","0.002","",""
"parliament expected","parliament expected","2","1000","0.002","",""
"par zero-emissions","par zero-emissions","2","1000","0.002","",""
"papers climate","papers climate","2","1000","0.002","",""
"paper pulp","paper pulp","2","1000","0.002","",""
"paper mills","paper mills","2","1000","0.002","",""
"panel climate","panel climate","2","1000","0.002","",""
"palm oil","palm oil","2","1000","0.002","",""
"oxygen water","oxygen water","2","1000","0.002","",""
"originator processor","originator processor","2","1000","0.002","",""
"original content","original content","2","1000","0.002","",""
"organic molecules","organic molecules","2","1000","0.002","",""
"organic biomass-based","organic biomass-based","2","1000","0.002","",""
"ores fossil","ores fossil","2","1000","0.002","",""
"order curb","order curb","2","1000","0.002","",""
"orange county","orange county","2","1000","0.002","",""
"open-air barbecues","open-air barbecues","2","1000","0.002","",""
"onshore wind","onshore wind","2","1000","0.002","",""
"old trees","old trees","2","1000","0.002","",""
"oil market","oil market","2","1000","0.002","",""
"oil coal","oil coal","2","1000","0.002","",""
"offset carbon","offset carbon","2","1000","0.002","",""
"officials dedicate","officials dedicate","2","1000","0.002","",""
"oceans world","oceans world","2","1000","0.002","",""
"ocean thermal","ocean thermal","2","1000","0.002","",""
"nuclear hydro","nuclear hydro","2","1000","0.002","",""
"north america","north america","2","1000","0.002","",""
"new trees","new trees","2","1000","0.002","",""
"new plainfield","new plainfield","2","1000","0.002","",""
"new law","new law","2","1000","0.002","",""
"net carbon","net carbon","2","1000","0.002","",""
"need lot","need lot","2","1000","0.002","",""
"native fish","native fish","2","1000","0.002","",""
"moving fuel","moving fuel","2","1000","0.002","",""
"minerals ores","minerals ores","2","1000","0.002","",""
"millions jobs","millions jobs","2","1000","0.002","",""
"million species","million species","2","1000","0.002","",""
"million premature","million premature","2","1000","0.002","",""
"million biomass","million biomass","2","1000","0.002","",""
"middle east","middle east","2","1000","0.002","",""
"metric tons","metric tons","2","1000","0.002","",""
"matter animal","matter animal","2","1000","0.002","",""
"massachusetts department","massachusetts department","2","1000","0.002","",""
"market scenario","market scenario","2","1000","0.002","",""
"market analysis","market analysis","2","1000","0.002","",""
"marine ecologist","marine ecologist","2","1000","0.002","",""
"manufacturing practices","manufacturing practices","2","1000","0.002","",""
"manufacturing facility","manufacturing facility","2","1000","0.002","",""
"manufacture products","manufacture products","2","1000","0.002","",""
"management systems","management systems","2","1000","0.002","",""
"loss carbon","loss carbon","2","1000","0.002","",""
"loss biomass","loss biomass","2","1000","0.002","",""
