term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"natural gas biomass","natural gas biomass","2","1000","0.002","",""
"municipal solid waste","municipal solid waste","2","1000","0.002","",""
"minerals ores fossil","minerals ores fossil","2","1000","0.002","",""
"millions jobs transform","millions jobs transform","2","1000","0.002","",""
"million tons biomass","million tons biomass","2","1000","0.002","",""
"million premature deaths","million premature deaths","2","1000","0.002","",""
"measure tree height","measure tree height","2","1000","0.002","",""
"market trends forecast","market trends forecast","2","1000","0.002","",""
"marine animal life","marine animal life","2","1000","0.002","",""
"low level populations","low level populations","2","1000","0.002","",""
"louis dreyfus sell","louis dreyfus sell","2","1000","0.002","",""
"loss natural life","loss natural life","2","1000","0.002","",""
"loss biomass total","loss biomass total","2","1000","0.002","",""
"logic trees remove","logic trees remove","2","1000","0.002","",""
"logging truck pulls","logging truck pulls","2","1000","0.002","",""
"lock biomass grow","lock biomass grow","2","1000","0.002","",""
"living species rose","living species rose","2","1000","0.002","",""
"list socially conscious","list socially conscious","2","1000","0.002","",""
"list noncarbon emitting","list noncarbon emitting","2","1000","0.002","",""
"liquid biofuels clear","liquid biofuels clear","2","1000","0.002","",""
"life tuesday's study","life tuesday's study","2","1000","0.002","",""
"level populations fact","level populations fact","2","1000","0.002","",""
"largest third-party extraction","largest third-party extraction","2","1000","0.002","",""
"largest city new","largest city new","2","1000","0.002","",""
"large increase low","large increase low","2","1000","0.002","",""
"large bulk renewable","large bulk renewable","2","1000","0.002","",""
"kyoto protocol grandfathered","kyoto protocol grandfathered","2","1000","0.002","",""
"koda energy friday","koda energy friday","2","1000","0.002","",""
"jobs transform energy","jobs transform energy","2","1000","0.002","",""
"jobs bio growing","jobs bio growing","2","1000","0.002","",""
"involve protections greater","involve protections greater","2","1000","0.002","",""
"internal combustion engine","internal combustion engine","2","1000","0.002","",""
"integrated phytocannabinoid-rich biomass","integrated phytocannabinoid-rich biomass","2","1000","0.002","",""
"institution oceanography california","institution oceanography california","2","1000","0.002","",""
"insect biomass decline","insect biomass decline","2","1000","0.002","",""
"information administration eia","information administration eia","2","1000","0.002","",""
"inefficient energy transfer","inefficient energy transfer","2","1000","0.002","",""
"increase low level","increase low level","2","1000","0.002","",""
"including pipeline gas","including pipeline gas","2","1000","0.002","",""
"hydro wind solar","hydro wind solar","2","1000","0.002","",""
"hydro geothermal wind","hydro geothermal wind","2","1000","0.002","",""
"hotchkiss biomass power","hotchkiss biomass power","2","1000","0.002","",""
"height forests biomass","height forests biomass","2","1000","0.002","",""
"harvesting plants energy","harvesting plants energy","2","1000","0.002","",""
"growing harvesting plants","growing harvesting plants","2","1000","0.002","",""
"green research gpr","green research gpr","2","1000","0.002","",""
"greater sage-grouse addition","greater sage-grouse addition","2","1000","0.002","",""
"grandfathered paris climate","grandfathered paris climate","2","1000","0.002","",""
"gpr vertically integrated","gpr vertically integrated","2","1000","0.002","",""
"good measure tree","good measure tree","2","1000","0.002","",""
"global biomass wild","global biomass wild","2","1000","0.002","",""
"geothermal small hydro","geothermal small hydro","2","1000","0.002","",""
"generators burn biomass","generators burn biomass","2","1000","0.002","",""
"gasoline diesel jet","gasoline diesel jet","2","1000","0.002","",""
"gas vented gas","gas vented gas","2","1000","0.002","",""
"gas streams including","gas streams including","2","1000","0.002","",""
"gas gas flared","gas gas flared","2","1000","0.002","",""
"gas flared gas","gas flared gas","2","1000","0.002","",""
"gas emissions stay","gas emissions stay","2","1000","0.002","",""
"gas coal-bed methane","gas coal-bed methane","2","1000","0.002","",""
"future forest biomass","future forest biomass","2","1000","0.002","",""
"fuel list noncarbon","fuel list noncarbon","2","1000","0.002","",""
"fuel energy efficiency","fuel energy efficiency","2","1000","0.002","",""
"fuel biomass burning","fuel biomass burning","2","1000","0.002","",""
"found biomass cabo","found biomass cabo","2","1000","0.002","",""
"fossil fuel energy","fossil fuel energy","2","1000","0.002","",""
"former coal-fired power","former coal-fired power","2","1000","0.002","",""
"forests biomass totals","forests biomass totals","2","1000","0.002","",""
"forest biomass carbon","forest biomass carbon","2","1000","0.002","",""
"flared gas vented","flared gas vented","2","1000","0.002","",""
"farmers struggling dispose","farmers struggling dispose","2","1000","0.002","",""
"fact inefficient energy","fact inefficient energy","2","1000","0.002","",""
"extraction company canada","extraction company canada","2","1000","0.002","",""
"enviva biomass wood","enviva biomass wood","2","1000","0.002","",""
"environmentalists extremely skeptical","environmentalists extremely skeptical","2","1000","0.002","",""
"environmental protection agency","environmental protection agency","2","1000","0.002","",""
"energy wood biomass","energy wood biomass","2","1000","0.002","",""
"energy transfer increase","energy transfer increase","2","1000","0.002","",""
"energy system fossil","energy system fossil","2","1000","0.002","",""
"energy sources including","energy sources including","2","1000","0.002","",""
"energy solar wind","energy solar wind","2","1000","0.002","",""
"energy jobs bio","energy jobs bio","2","1000","0.002","",""
"energy information administration","energy information administration","2","1000","0.002","",""
"energy farmers struggling","energy farmers struggling","2","1000","0.002","",""
"energy environmentalists extremely","energy environmentalists extremely","2","1000","0.002","",""
"energy efficiency sustainably","energy efficiency sustainably","2","1000","0.002","",""
"energies wind solar","energies wind solar","2","1000","0.002","",""
"emitting sources energy","emitting sources energy","2","1000","0.002","",""
"emissions stay rate","emissions stay rate","2","1000","0.002","",""
"emissions biomass burning","emissions biomass burning","2","1000","0.002","",""
"electricity renewable sources","electricity renewable sources","2","1000","0.002","",""
"electricity country announced","electricity country announced","2","1000","0.002","",""
"electricity biomass facilities","electricity biomass facilities","2","1000","0.002","",""
"efficiency sustainably energies","efficiency sustainably energies","2","1000","0.002","",""
"drax power station","drax power station","2","1000","0.002","",""
"drax north yorkshire","drax north yorkshire","2","1000","0.002","",""
"dispose woody waste","dispose woody waste","2","1000","0.002","",""
"direct relevance current","direct relevance current","2","1000","0.002","",""
"diesel jet fuel","diesel jet fuel","2","1000","0.002","",""
"development wind solar","development wind solar","2","1000","0.002","",""
"development alternative energy","development alternative energy","2","1000","0.002","",""
"derived fossil fuels","derived fossil fuels","2","1000","0.002","",""
"department energy resources","department energy resources","2","1000","0.002","",""
"demand woody biomass","demand woody biomass","2","1000","0.002","",""
"debate burning biomass","debate burning biomass","2","1000","0.002","",""
"create millions jobs","create millions jobs","2","1000","0.002","",""
"country announced purchase","country announced purchase","2","1000","0.002","",""
"cordemais coal power","cordemais coal power","2","1000","0.002","",""
"content download multimedia","content download multimedia","2","1000","0.002","",""
"conscious achievements percent","conscious achievements percent","2","1000","0.002","",""
"concerns biomass electricity","concerns biomass electricity","2","1000","0.002","",""
"company canada annual","company canada annual","2","1000","0.002","",""
"combustion wood biomass","combustion wood biomass","2","1000","0.002","",""
"combined carbon capture","combined carbon capture","2","1000","0.002","",""
"coal-fired power stations","coal-fired power stations","2","1000","0.002","",""
"coal-fired power station","coal-fired power station","2","1000","0.002","",""
"coal-fired power plants","coal-fired power plants","2","1000","0.002","",""
"coal-bed methane biomass","coal-bed methane biomass","2","1000","0.002","",""
"coal power generators","coal power generators","2","1000","0.002","",""
"coal plants biomass","coal plants biomass","2","1000","0.002","",""
"clear large bulk","clear large bulk","2","1000","0.002","",""
"clean energy technologies","clean energy technologies","2","1000","0.002","",""
"city new success","city new success","2","1000","0.002","",""
"carolina's energy future","carolina's energy future","2","1000","0.002","",""
"carbon storage potential","carbon storage potential","2","1000","0.002","",""
"carbon neutrality forest","carbon neutrality forest","2","1000","0.002","",""
"carbon emissions biomass","carbon emissions biomass","2","1000","0.002","",""
"carbon dioxide biomass","carbon dioxide biomass","2","1000","0.002","",""
"carbon atmosphere lock","carbon atmosphere lock","2","1000","0.002","",""
"california found biomass","california found biomass","2","1000","0.002","",""
"cabo pulmo reef","cabo pulmo reef","2","1000","0.002","",""
"burning wood biomass","burning wood biomass","2","1000","0.002","",""
"bulk renewable energy","bulk renewable energy","2","1000","0.002","",""
"biomass wood pellet","biomass wood pellet","2","1000","0.002","",""
"biomass wild mammals","biomass wild mammals","2","1000","0.002","",""
"biomass weight predators","biomass weight predators","2","1000","0.002","",""
"biomass totals skewed","biomass totals skewed","2","1000","0.002","",""
"biomass total weight","biomass total weight","2","1000","0.002","",""
"biomass sustainable fuels","biomass sustainable fuels","2","1000","0.002","",""
"biomass stoves million","biomass stoves million","2","1000","0.002","",""
"biomass steam plant","biomass steam plant","2","1000","0.002","",""
"biomass solar geothermal","biomass solar geothermal","2","1000","0.002","",""
"biomass renewable portfolio","biomass renewable portfolio","2","1000","0.002","",""
"biomass produces emissions","biomass produces emissions","2","1000","0.002","",""
"biomass power generation","biomass power generation","2","1000","0.002","",""
"biomass power facilities","biomass power facilities","2","1000","0.002","",""
"biomass plants trees","biomass plants trees","2","1000","0.002","",""
"biomass north carolina","biomass north carolina","2","1000","0.002","",""
"biomass market india","biomass market india","2","1000","0.002","",""
"biomass liquid biofuels","biomass liquid biofuels","2","1000","0.002","",""
"biomass hydropower geothermal","biomass hydropower geothermal","2","1000","0.002","",""
"biomass hydroelectric power","biomass hydroelectric power","2","1000","0.002","",""
"biomass geothermal solar","biomass geothermal solar","2","1000","0.002","",""
"biomass fuel list","biomass fuel list","2","1000","0.002","",""
"biomass energy heat","biomass energy heat","2","1000","0.002","",""
"biomass energy farmers","biomass energy farmers","2","1000","0.002","",""
"biomass emits carbon","biomass emits carbon","2","1000","0.002","",""
"biomass electricity country","biomass electricity country","2","1000","0.002","",""
"biomass consumable food","biomass consumable food","2","1000","0.002","",""
"biomass cogeneration project","biomass cogeneration project","2","1000","0.002","",""
"biomass carbon capture","biomass carbon capture","2","1000","0.002","",""
"biomass cabo pulmo","biomass cabo pulmo","2","1000","0.002","",""
"biomass black liquor","biomass black liquor","2","1000","0.002","",""
"biofuels clear large","biofuels clear large","2","1000","0.002","",""
"bio growing harvesting","bio growing harvesting","2","1000","0.002","",""
"billion people rely","billion people rely","2","1000","0.002","",""
"bidding process biomass","bidding process biomass","2","1000","0.002","",""
"beijing's acting mayor","beijing's acting mayor","2","1000","0.002","",""
"barbecues garbage incineration","barbecues garbage incineration","2","1000","0.002","",""
"atmosphere lock biomass","atmosphere lock biomass","2","1000","0.002","",""
"announced purchase sustainable","announced purchase sustainable","2","1000","0.002","",""
"animal life tuesday's","animal life tuesday's","2","1000","0.002","",""
"amounts carbon dioxide","amounts carbon dioxide","2","1000","0.002","",""
"allay concerns biomass","allay concerns biomass","2","1000","0.002","",""
"air water quality","air water quality","2","1000","0.002","",""
"addition provision carbon","addition provision carbon","2","1000","0.002","",""
"add list socially","add list socially","2","1000","0.002","",""
"add biomass liquid","add biomass liquid","2","1000","0.002","",""
"achievements percent electricity","achievements percent electricity","2","1000","0.002","",""
"absorb carbon dioxide","absorb carbon dioxide","2","1000","0.002","",""
"3.3 grid 3.3","3.3 grid 3.3","2","1000","0.002","",""
"₂ waste biomass","₂ waste biomass","1","1000","0.001","",""
"₂ capture usage","₂ capture usage","1","1000","0.001","",""
"â massive loss","â massive loss","1","1000","0.001","",""
"â deec spokesperson","â deec spokesperson","1","1000","0.001","",""
"â 50bn investment","â 50bn investment","1","1000","0.001","",""
"â 25m funding","â 25m funding","1","1000","0.001","",""
"zooplankton small animals","zooplankton small animals","1","1000","0.001","",""
"zooplankton north sea","zooplankton north sea","1","1000","0.001","",""
"zones normal ocean","zones normal ocean","1","1000","0.001","",""
"zero-emissions energy sources","zero-emissions energy sources","1","1000","0.001","",""
"zero-emission power green","zero-emission power green","1","1000","0.001","",""
"zero-carbon wind solar","zero-carbon wind solar","1","1000","0.001","",""
"zero-carbon heat biomass","zero-carbon heat biomass","1","1000","0.001","",""
"zeachem process microbes","zeachem process microbes","1","1000","0.001","",""
"zeachem developer biorefineries","zeachem developer biorefineries","1","1000","0.001","",""
"yuval noah harari","yuval noah harari","1","1000","0.001","",""
"youtuber homeless advocate","youtuber homeless advocate","1","1000","0.001","",""
"youtube video emerged","youtube video emerged","1","1000","0.001","",""
"youtube 50th anniversary","youtube 50th anniversary","1","1000","0.001","",""
"young driven desire","young driven desire","1","1000","0.001","",""
"yorkshire partially switched","yorkshire partially switched","1","1000","0.001","",""
"yorkshire northern england","yorkshire northern england","1","1000","0.001","",""
"yorkshire led slump","yorkshire led slump","1","1000","0.001","",""
"yorkshire converted so","yorkshire converted so","1","1000","0.001","",""
"yorkshire burn wood","yorkshire burn wood","1","1000","0.001","",""
"yorkshire britain develop","yorkshire britain develop","1","1000","0.001","",""
"yorkshire biomass coal","yorkshire biomass coal","1","1000","0.001","",""
"york times renewables","york times renewables","1","1000","0.001","",""
"york rep sean","york rep sean","1","1000","0.001","",""
"york remove fish","york remove fish","1","1000","0.001","",""
"yolo solano san","yolo solano san","1","1000","0.001","",""
"yolo county superior","yolo county superior","1","1000","0.001","",""
"yolo county district","yolo county district","1","1000","0.001","",""
"yields times power","yields times power","1","1000","0.001","",""
"yields time reduce","yields time reduce","1","1000","0.001","",""
"yields omega waste","yields omega waste","1","1000","0.001","",""
"yielding cbd hemp","yielding cbd hemp","1","1000","0.001","",""
"yield production contributing","yield production contributing","1","1000","0.001","",""
"yha eskdale dorm","yha eskdale dorm","1","1000","0.001","",""
"yellow electrolysis zero-emission","yellow electrolysis zero-emission","1","1000","0.001","",""
"yeast derived biomass","yeast derived biomass","1","1000","0.001","",""
"yang's research suggests","yang's research suggests","1","1000","0.001","",""
"xiv sum biomass","xiv sum biomass","1","1000","0.001","",""
"xinhua news agency","xinhua news agency","1","1000","0.001","",""
"xcel meet renewable","xcel meet renewable","1","1000","0.001","",""
"xcel energy renewable","xcel energy renewable","1","1000","0.001","",""
"xcel energy cancel","xcel energy cancel","1","1000","0.001","",""
"xcel energy bought","xcel energy bought","1","1000","0.001","",""
"www.biomasscontrols.com email derek@biomasscontrols.com","www.biomasscontrols.com email derek@biomasscontrols.com","1","1000","0.001","",""
"wte processes paper","wte processes paper","1","1000","0.001","",""
"wrote famous examples","wrote famous examples","1","1000","0.001","",""
"wrote center whale","wrote center whale","1","1000","0.001","",""
"wrong moment break","wrong moment break","1","1000","0.001","",""
"written britain's energy","written britain's energy","1","1000","0.001","",""
"write congressional conference","write congressional conference","1","1000","0.001","",""
"wrecking natural environments","wrecking natural environments","1","1000","0.001","",""
"worth biomass energy","worth biomass energy","1","1000","0.001","",""
"worth billions dollars","worth billions dollars","1","1000","0.001","",""
"worst natural gas","worst natural gas","1","1000","0.001","",""
"worst live asthma","worst live asthma","1","1000","0.001","",""
"worsens climate change","worsens climate change","1","1000","0.001","",""
"worsening impacts standing","worsening impacts standing","1","1000","0.001","",""
"worsen air quality","worsen air quality","1","1000","0.001","",""
"worse oil boilers","worse oil boilers","1","1000","0.001","",""
"worse environment fossil","worse environment fossil","1","1000","0.001","",""
"worse carbon neutrality","worse carbon neutrality","1","1000","0.001","",""
"worried wood pellets","worried wood pellets","1","1000","0.001","",""
"worldwide missouri-based company","worldwide missouri-based company","1","1000","0.001","",""
"worldwide coupled el","worldwide coupled el","1","1000","0.001","",""
"world's wild birds","world's wild birds","1","1000","0.001","",""
"world's successful large","world's successful large","1","1000","0.001","",""
"world's ski hotel","world's ski hotel","1","1000","0.001","",""
"world's new ski","world's new ski","1","1000","0.001","",""
"world's leading sustainable","world's leading sustainable","1","1000","0.001","",""
"world's largest wood","world's largest wood","1","1000","0.001","",""
"world's largest exporter","world's largest exporter","1","1000","0.001","",""
"world's largest container","world's largest container","1","1000","0.001","",""
"world's largest biomass","world's largest biomass","1","1000","0.001","",""
"world's large rivers","world's large rivers","1","1000","0.001","",""
"world's landmass agricultural","world's landmass agricultural","1","1000","0.001","",""
